Unnamed: 0,Work-Related Fear,Physical Context,Social Context,Physiological Context
0.0,Fearing a bad performance review from a supervisor,In the supervisor's office,With a supervisor,Increased heart rate and shallow breathing
1.0,Dreading a negative interaction with a difficult coworker,In the breakroom at work,With a single coworker,"Mild tension in shoulders, slight increase in breathing rate"
2.0,Worrying about being late for work and facing disapproval,In the office parking lot,In a public setting with colleagues,Elevated heart rate and slight sweating
3.0,Receiving harsh feedback on a recent project,In the manager's office,With a manager,Feeling warm and flushed
4.0,Feeling nervous about presenting results in a team meeting,In the main conference room,With a team of coworkers,Dry mouth and increased heart rate
5.0,Fearing disciplinary action for a minor mistake,In the human resources office,With a high-level manager,Tense muscles and queasiness
6.0,Worrying about job security due to recent layoffs,At home after work,Alone,"Persistent low-level anxiety, fatigue from lack of sleep"
7.0,Experiencing anxiety about meeting tight project deadlines,At the work desk,With a team supervisor,Tense jaw and shallow breathing
8.0,Fearing being assigned an overwhelming workload,In the department head's office,With department head,"Heaviness in chest, slight tremor in hands"
9.0,Dreading being asked to take on a high-stakes project,In a project planning room,With a project leader,Increased focus but slight tremor
10.0,Having anxiety about being criticized during a meeting,In a virtual meeting,In a group meeting with peers,Cold hands and tense posture
11.0,Worrying about getting caught up in office politics,In a hallway conversation,With a colleague or small team,"Chronic low-level stress, occasional muscle tension"
12.0,Feeling anxious about asking for a raise or promotion,In supervisor's office,With a direct supervisor,Shaky voice and nervous sweating
13.0,Fearing a sudden transfer or reassignment to an unfamiliar role,In the HR department,With human resources staff,Increased breathing rate and muscle stiffness
14.0,Worrying about missing important details in a report,In a project update meeting,With stakeholders during a review,"Sharp focus, but sweaty palms"
15.0,Experiencing stress over managing conflicting deadlines,At home late at night,Alone,Tension headache and racing thoughts
16.0,Feeling nervous about public speaking at a work event,On stage at a company event,In a company-wide event,"Dry mouth, rapid heartbeat"
17.0,Fearing being blamed for a project delay,In the project workspace,With a group of colleagues,"Warm flush in face, elevated heart rate"
18.0,Dreading the possibility of making an error in a report,In the senior management meeting,In front of upper management,Minor finger tremors and shallow breathing
19.0,Worrying about not meeting the expectations of a new boss,In boss's office,With new boss,"Restless energy, feeling jittery after coffee"
20.0,Feeling nervous about being placed on a performance improvement plan,In a conference room,With HR and supervisor,"Persistent low-level dread, tight shoulders"
21.0,Fearing that colleagues are gossiping about work performance,In the breakroom,With coworkers,Increased body temperature and mild stomach discomfort
22.0,Worrying about underperforming in comparison to peers,At desk,Alone,Tension in forehead and shoulders
23.0,Dreading having to work closely with a challenging team member,In a shared office space,With a single coworker,"Low-level tension, slightly increased heart rate"
24.0,Feeling anxious about changes in the company's leadership,In home office reading the news,Alone,Fatigue from poor sleep
25.0,Experiencing fear about being evaluated in front of peers,In a collaborative meeting room,In a team setting,"Dry mouth, rapid breathing"
26.0,Fearing that a project will fail to meet client expectations,In a client meeting room,With a client,"Cold hands, mild perspiration"
27.0,Worrying about having to justify project decisions to upper management,In the executive boardroom,With senior leaders,Heart pounding and tense posture
28.0,Feeling nervous about asking for time off during a busy period,In supervisor's office,With a supervisor,Slight trembling and warm sensation
29.0,Dreading a performance meeting scheduled unexpectedly,In department head's office,With a department head,Increased heart rate and alertness
30.0,Fearing conflict over ideas in a collaborative project,In a brainstorming room,With a group of coworkers,"Slight muscle tension, increased focus"
31.0,Feeling stress about being seen as less productive by management,In open office area,In a public setting,Persistent fatigue and muscle soreness
32.0,Worrying about forgetting key information during a presentation,In the main conference room,With a project team,"Shaky hands, rapid breathing"
33.0,Fearing that personal life issues will affect work performance,At home after hours,Alone,Mild headache and low energy
34.0,Dreading having to train new employees on complex tasks,In the training room,With new hires,"Low-level tension, slight irritability"
35.0,Worrying about a miscommunication with a key client,In virtual client call,With a client,Cold sweat and tight chest
36.0,Feeling anxious about being passed over for a promotion,In performance review room,With peers and manager,Low energy and persistent restlessness
37.0,Fearing a project scope change that adds unexpected responsibilities,In project planning room,With a project team,Slight nausea and heavy breathing
38.0,Experiencing nervousness about remote work performance monitoring,In home office,With a remote team,Persistent mild tension
39.0,Dreading potential mistakes with new software or tools,In IT help desk,With IT staff,Low-level headache and focus issues
40.0,Worrying about handling a high-profile project with high stakes,In executive boardroom,With executive team,"Jittery, feeling of adrenaline"
41.0,Feeling pressure about meeting quarterly or yearly targets,In finance meeting room,With leadership,"Fatigue, mild irritability"
42.0,Fearing that an important email was accidentally sent to the wrong recipient,In shared office area,In a group email,Rapid breathing and slight dizziness
43.0,Worrying about a client escalating a complaint to upper management,In client meeting room,With client and manager,Heart pounding and clammy hands
44.0,Feeling anxious about failing to communicate well in virtual meetings,In home office,In a remote team meeting,"Increased heart rate, dry mouth"
